2025-06-10 16:21:36 [main] WARN  org.testng.xml.TestNGContentHandler - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Users\rajum\eclipse-workspace\ToolsQA\SeleniumAutomotionSVCUATIB\testng.xml] otherwise TestNG may fail or not work as expected.
2025-06-10 16:21:36 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\rajum\eclipse-workspace\ToolsQA\SeleniumAutomotionSVCUATIB\testng.xml

2025-06-10 16:21:37 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 137.0.7151.68 (resolved driver for Chrome 137)
2025-06-10 16:21:37 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\rajum\.cache\selenium\chromedriver\win64\137.0.7151.68\chromedriver.exe
2025-06-10 16:21:57 [main] INFO  a.pages.PaymentHistoryPage - 🟦 [STEP] Clicking on the Payment tab.
2025-06-10 16:21:57 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:05 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:05 [main] INFO  a.pages.PaymentHistoryPage - Clicking element: By.xpath: //span[@class='p-menuitem-text' and text()='Payment']
2025-06-10 16:22:05 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Payment tab clicked.
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - ⏳ [WAIT] Waiting for payment data to load.
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared, payment data loaded.
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - 🧪=== Starting Postivie Test Cases for NETF transaction for Payment to payee ===
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - 🚀 [START] Initiating payment to payee: DXFCHGV
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - Clicking element: By.xpath: //span[contains(@class, 'font-semibold') and text()='DXFCHGV']
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:06 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Payee selected: DXFCHGV
2025-06-10 16:22:07 [main] INFO  a.pages.PaymentHistoryPage - Clicking with JS
2025-06-10 16:22:07 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Entered amount: ₹2
2025-06-10 16:22:07 [main] INFO  a.pages.PaymentHistoryPage - 🟦 [STEP] Selecting NEFT option
2025-06-10 16:22:07 [main] INFO  a.pages.PaymentHistoryPage - Attempting to click NEFT option (Attempt 1)
2025-06-10 16:22:07 [main] INFO  a.pages.PaymentHistoryPage - 🔄 [INFO] NEFT clicked via Actions.
2025-06-10 16:22:08 [main] WARN  a.pages.PaymentHistoryPage - ⚠️ [WARN] NEFT not selected yet. Retrying...
2025-06-10 16:22:08 [main] INFO  a.pages.PaymentHistoryPage - Attempting to click NEFT option (Attempt 2)
2025-06-10 16:22:09 [main] INFO  a.pages.PaymentHistoryPage - 🔄 [INFO] NEFT clicked via Actions.
2025-06-10 16:22:09 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] NEFT option selected successfully.
2025-06-10 16:22:09 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Entered remarks: test value
2025-06-10 16:22:09 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:09 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:09 [main] INFO  a.pages.PaymentHistoryPage - Clicking element: By.xpath: (//span[text()='Proceed'])[1]
2025-06-10 16:22:10 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:10 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:10 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Clicked Proceed after remarks.
2025-06-10 16:22:10 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:10 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:10 [main] INFO  a.pages.PaymentHistoryPage - Clicking element: By.xpath: //span[text()='Confirm']
2025-06-10 16:22:10 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:10 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:10 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Confirm button clicked.
2025-06-10 16:22:11 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] OTP entered.
2025-06-10 16:22:11 [main] INFO  a.pages.PaymentHistoryPage - Waiting for any overlay/spinner to disappear before final Proceed.
2025-06-10 16:22:11 [main] INFO  a.pages.PaymentHistoryPage - Clicking with JS
2025-06-10 16:22:11 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Final Proceed clicked after OTP.
2025-06-10 16:22:15 [main] INFO  a.pages.PaymentHistoryPage - Clicking with JS
2025-06-10 16:22:15 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Close button clicked.
2025-06-10 16:22:15 [main] INFO  a.pages.PaymentHistoryPage - 🎉 [DONE] ✅ Positive test cases for Payment to payee DXFCHGV successfully executed.
2025-06-10 16:22:15 [main] INFO  a.pages.PaymentHistoryPage - 🟦 [STEP] Clicking on the Payment tab.
2025-06-10 16:22:15 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:16 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:16 [main] INFO  a.pages.PaymentHistoryPage - Clicking element: By.xpath: //span[@class='p-menuitem-text' and text()='Payment']
2025-06-10 16:22:16 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Payment tab clicked.
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - ⏳ [WAIT] Waiting for payment data to load.
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared, payment data loaded.
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - 🧪=== Starting Negative Test Cases for Amount & Remarks Field ===
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - 🔹 Step 1: Selecting payee: DXFCHGV
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - Clicking element: By.xpath: //span[contains(@class, 'font-semibold') and text()='DXFCHGV']
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - ✅ Payee selected successfully.
2025-06-10 16:22:18 [main] INFO  a.pages.PaymentHistoryPage - Clicking with JS
